Source,Target,Weight
Harry,Ron,20
Harry,Hermione,15
Harry,Hagrid,10
Harry,Dumbledore,6
Harry,Draco,8
Harry,Neville,5
Harry,McGonagall,4
Harry,Snape,6
Harry,Quirrell,5
Harry,Dudley,6
Ron,Hermione,18
Ron,Hagrid,4
Ron,Neville,4
Ron,Draco,6
Ron,Snape,3
Hermione,Hagrid,4
Hermione,McGonagall,3
Hermione,Snape,4
Hermione,Neville,5
Draco,Crabbe,10
Draco,Goyle,10
Draco,Hermione,4
Draco,Neville,3
Draco,Snape,5
Dumbledore,McGonagall,6
Hagrid,Dumbledore,5
Hagrid,Draco,2
Hagrid,Quirrell,3
Neville,Snape,2
Snape,Quirrell,4
McGonagall,Quirrell,2
